,complaint_id,date_received,product,issue,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed?,consumer_complaint_narrative,month
191477,1290315,2015-03-19,Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",CA,Web,Closed with non-monetary relief,Yes,No,transition xxxxsince received letter regarding complaint listed discovered problem excavated believe taking serious action right violated outraged method deception put play last year still going first thing way state letter fraud case issue denied security operation department well department advised charge refrigerator made mention case regarding fraud denied fraud letter mention refrigerator charge also state received payment xxxx2015 date future payment made along payment made pay account full stated cooperate provide declaration unauthorized use true called find charge made month use card u rude bias man made whole story already covering fact bonus charge refrigerator april charge late fee could reverse chose disclose information one made negative remark said believe together started providingtransunion real incorrect information wandering name transition sent credit file saying error thrashed entire credit file rico score called transition told remove fraud alert asked removal request provided writing fact opposite issued extensive fraud alert strange thing credit file dated 2015 personal into dated xxxxxxxx15 note stating file blocked promotion purpose revolving account noted paid agreed buy state bold type additional informationcredit card also account reported closed per request account mention public record know done raise additional flag credit history create problem future loan credit card apt may request well dispute credit department loaded credit file great deal negative information rico score went ordered credit report reported agency decided use credit card xxxxxxxx15 deposit tool rental register clerk told declined called number card stating card number automatic stated balance eligible deferred charging asked speak rep stated account closed per customer request true requested account closed credit report make indication believe done retaliation still receiving email stating account balance active well marketing email encouraging use account,3
191554,1290841,2015-03-19,Student loan,Can't repay my loan,"Navient Solutions, Inc.",NY,Web,Closed with explanation,Yes,Yes,trying deal patient formerly regarding private loan taken college suction name mother primary borrowed consigned admitted phone repeatedly giving money phone exact amount want exorbitant document phone call started dealing via paper letter taken kindly loan primary borrowed expecting well xxxxmonth payment unreasonable income given multiple financial statement phone apparently putting system next time talk someone say nothing file give statement agree xxxxmonth much nothing else available ask recommend say even bother sending amount actually afford without losing home car needed job enough anything worthwhile make fun going career path hoping college demand know loan mother primary borrowed one lower payment plan confirmation number payment taking checking account received letter mail stating payment plan rejected reason reply trying find writing yet even date letter sent money still taken account patient also still receiving letter phone call particular account delinquent even though making payment wit end trying contact via paper refuse talk phone anymore resulting panic anxiety attack every time call want go default ca afford anything close demanding loan used forbearance time loan paid 15000 every month put almost making wish never went school also wish school done better job education private loan really instead sign piece paper money towards suction federal loan reasonable repayment plan based income ca private loan way please help advise,3
191555,1290842,2015-03-19,Credit reporting,Incorrect information on credit report,Experian,FL,Web,Closed with explanation,Yes,No,disputing incorrect information experian credit report unwilling allow dispute investigation result creditor report reflect late payment information inaccurate creditor agreed item corrected credit bureau made correction,3
191588,1290843,2015-03-19,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with explanation,Yes,No,disputing incorrect information trans union credit report unwilling allow dispute investigation result creditor report reflect late payment information inaccurate creditor agreed item corrected credit bureau made correction,3
191607,1290316,2015-03-19,Credit reporting,Improper use of my credit report,Experian,CA,Web,Closed with non-monetary relief,Yes,No,experian xxxxxxxxsince received letter regarding complaint listed discovered problem excavated believe taking serious action right violated outraged method deception put play last year still going first thing way state letter fraud case issue denied security operation department well department advised double charge refrigerator made mention case regarding fraud denied fraud letter mention refrigerator charge also state received payment date future payment made along payment made pay account full stated cooperate provide declaration unauthorized use true called find charge made month use card rude bias man made whole story already covering fact bonus charge second refrigerator april charge late fee could reverse chose disclose information one made negative remark said believe together started providing experian real incorrect information wandering name experian sent credit file saying error thrashed entire credit file rico score called experian told remove fraud alert asked removal request provided writing fact opposite issued extensive fraud alert strange thing credit file dated personal into dated note stating file blocked promotion purpose revolving account noted paid agreed buy state bold type additional informationcredit card also account reported closed per request account mention public record know done raise additional flag credit history create problem future loan credit card apt may request well dispute credit department loaded credit file great deal negative information rico score went ordered credit report reported agency decided use credit card deposit tool rental register clerk told declined called number card stating card number automatic stated zero balance eligible deferred charging asked speak rep stated account closed per customer request true requested account closed credit report make indication believe done retaliation still receiving email stating account zero balance active well marketing email encouraging use account experian agreed make change,3
191636,1292216,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,"SunTrust Banks, Inc.",MD,Web,Closed with explanation,Yes,Yes,reached company however never responded unfortunately victim identity theft done everything required law dispute fraudulent item credit report sent letter sun trust xxxx2014 via terrified mail company refuse honor right fdcpa fera victim identity theft remove fraudulent inquiry submitted without knowledge consent ardor authorization please find attached notice sent along attached terrified receipt information traced online using reference information thank time attention regarding matter,3
191732,1290844,2015-03-19,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with non-monetary relief,Yes,No,submitted dispute trans union credit bureau regarding incorrect payment history account report payment history reflect multiple late payment fact account paid timely manner also contracted creditor answer given numerous attempt sure else given attempt lack proper response credit bureau,3
191751,1290845,2015-03-19,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with explanation,Yes,No,submitted dispute trans union credit bureau regarding incorrect payment history account report payment history reflect multiple late payment fact account paid timely manner also contracted creditor answer given numerous attempt sure else given attempt lack proper response credit bureau,3
191795,1290846,2015-03-19,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with explanation,Yes,No,submitted several dispute trans union credit bureau regarding incorrect information regarding collection item report account insured 6 year also contracted creditor answer given numerous attempt sure else given attempt lack proper response credit bureau,3
191840,1292051,2015-03-19,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",CA,Web,Closed with non-monetary relief,Yes,No,sca acquisition intact ca ca xxxxre account number may concern sending letter response notice received 2014 advised refusal pay notice sent pursuant fair debt collection practice act 15 use 169g2 second 809 claim disputed variation requested request variation proof failing address request variation made pursuant named title section respectfully request office provide competent evidence legal obligation pay please provide following money say owe explain show calculated say owe provide copy paper show agree pay say owe provide variation copy judgment applicable identify original creditor prove statute limitation expired account show licensed collect state provide license number registered agent office reported invalidated information major credit bureau trans union said action might constitute fraud federal state law due fact negative mark found credit report company company represent hesitate bringing legal action following violation fair credit reporting act violation fair debt collection practice act defamation character office able provide proper documentation requested require least 30 day investigate information time collection activity must cease desist xxxxalso variation period action taken could considered detrimental credit report consult legal counsel includes information credit reporting depositor could inaccurate invalidated verifying account account fact provided proof office fail respond variation request 30 day date receipt reference account must delete completely removed credit file copy deletion request shall sent immediately would also like request writing telephone contact made office home place employment office attempt telephone communication including limited computer generate call correspondence sent third party considered harassment choice file suit future communication must done writing send address noted letter c president federal trade commission consumer financial protection bureau consumer sentinel military trans union honorable attorney general california commissioner california business overnight enforcement division california business overnight senior corporation course l,3
191858,1292219,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,FC HoldCo LLC,MD,Web,Closed with explanation,Yes,Yes,reached however never got response unfortunately victim identity theft done everything required law dispute fraudulent item credit report sent letter flagship credit via terrified mail company refuse honor right fdcpa fera victim identity theft remove fraudulent inquiry submitted without knowledge consent ardor authorization please find attached notice sent along attached terrified receipt information traced online using reference information thank time attention regarding matter,3
191898,1290847,2015-03-19,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Web,Closed with non-monetary relief,Yes,No,account credit report belong attempt attempted dispute several time avail,3
191920,1292235,2015-03-19,Credit reporting,Unable to get credit report/credit score,Experian,CA,Web,Closed with non-monetary relief,Yes,No,unable obtain experian credit report line also unable access free annual credit report online via annualcreditreportcom webster told size report causing may related number soft inquiry generate reviewing report previously victim identity theft checked report almost daily newunauthorized inquiry account appearing online access important apparently file size allow online access must mail form get copy report someone monitoring credit identity theft event someone attempt open account name need able access credit information without waiting two week mail,3
191921,1292220,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,Wells Fargo & Company,MD,Web,Closed with explanation,Yes,No,sent letter regarding matter however response company unfortunately victim identity theft done everything required law dispute fraudulent item credit report sent letter wa da well cargo dealer service via terrified mail company refuse honor right fdcpa fera victim identity theft remove fraudulent inquiry submitted without knowledge consent ardor authorization please find attached notice sent along attached terrified receipt information traced online using reference information thank time attention regarding matter,3
191951,1290849,2015-03-19,Credit reporting,Incorrect information on credit report,Experian,FL,Web,Closed with explanation,Yes,No,account credit report belong attempt attempted dispute several time avail,3
191976,1292222,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,Global Lending Services LLC,MD,Web,Closed with explanation,Yes,No,sent letter got response unfortunately victim identity theft done everything required law dispute fraudulent item credit report sent letter global lending via up terrified mail company refuse honor right fdcpa fera victim identity theft remove fraudulent inquiry submitted without knowledge consent ardor authorization please find attached notice sent along attached terrified receipt information traced online using reference information thank time attention regarding matter,3
191991,1290963,2015-03-19,Mortgage,Settlement process and costs,Bank of America,CA,Web,Closed with explanation,Yes,No,want file complaint bank america foreclosing wrongly family home loved bank america ruined life ever since wrongly foreclosed loan modification almost done approved almost 3 year since bank america took home received lawsuit what even mortgage payment fair right bank america give u back home help u get new one since wrong took everything u worked hard get,3
191998,1290968,2015-03-19,Consumer Loan,Managing the loan or lease,TD Bank US Holding Company,TN,Web,Closed with explanation,Yes,Yes,around consolidated loan paid loan chrysler financial automobile loan applied lost title local town office tennessee time made known u financial line title directed financial title support back financial find balance due 8500 charge fee never received modification auto finance representative ten twelve year since loan paid auto finance located maine never translated business requested supervisor call discus balance due xxxxxxxx15 1 week passed response despite call placed customer service department find concerning ethical corporation quietly hold balance due 10 year demand consumer pay,3
192008,1292063,2015-03-19,Credit card,Identity theft / Fraud / Embezzlement,Bank of America,NV,Web,Closed with explanation,Yes,No,late early received several voice message email bank america regarding credit card immediately contracted bank informed fraudulent charge detected credit card bank closed account protect fraudulent activity alarmed account 5 year utilized card 4 year balance 1000000 limit bank assured charge would reversed fee associated issue would reversed well also told charge arose cafe someone purchasing coffee snack advised bank never assure part fraudulent activity bank representative bank america said would receive new card mail 710 day card arrive recontacted bank america told card received would issue replacement card via priority mail signature required receive replacement card problem entire process new card associated fee replacement fraudulent charge reversed completely bank america promised 30 day late payment credit report fraudulent charge fee toiling 3100 late payment affected qualification approval mortgage process obtaining contracted bank america discus matter apologized inconvenience assured fee reversed 30 day late credit report would reversed 3060 day acceptable want negative rotation impede mortgage loan processing impact mortgage interest rate negative,3
192020,1292223,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,Capital One,MD,Web,Closed with explanation,Yes,No,sent separate letter separate address listed report get response unfortunately victim identity theft done everything required law dispute fraudulent item credit report sent letter capital one auto finance da coat via terrified mail company refuse honor right fdcpa fera victim identity theft remove fraudulent inquiry submitted without knowledge consent ardor authorization please find attached notice sent along attached terrified receipt information traced online using reference information thank time attention regarding matter,3
192023,1292201,2015-03-19,Debt collection,Improper contact or sharing of info,"Javitch, Block & Rathbone LLC",OH,Web,Closed with explanation,Yes,No,retaining counsel due contact javitch collection agency oh judgement credit card debt could longer pay due lost job said collection agency sent consecutive month till request fro payment attorney oh contracted said collection firm asked set payment schedule debated directly bank account attorney never call returned contact person record action javitch oh social security source income seasonal employee contracted wage would garnished 25 net pay worked working 280000 garnished paycheck major setback finance social security barely cover monthly overhead effort attorney reach javitch arrive equitable monthly payment directly debated account went unanswered phone writing complete written history since judgement rendered court toward effort establish payment schedule counsel 100 actual collection agency javitch totally ignored request counsel circumvented equitable protocol establish payment schedule repayment debt,3
192044,1290999,2015-03-19,Bank account or service,Deposits and withdrawals,M&T Bank Corporation,OR,Web,Closed with explanation,Yes,No,opened account bank online xxxxxxxx15 immediately funded automatic transfer 50000 little week later got letter requesting fix copy social utility bill address purification xxxxxxxx15 fast forward today xxxxxxxx15 heard anything back called bank find status told still reviewed 50000 hold demanded account get shut 50000 returned told could happen reviewed information fixed released hold account asked long would take told would take long want would render 50000 hostage got around firing stuff,3
192050,1292224,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,JPMorgan Chase & Co.,MD,Web,Closed with non-monetary relief,Yes,No,sent letter different address listed company never got response unfortunately victim identity theft done everything required law dispute fraudulent item credit report sent letter jem chase da morgan chase xxxx2014 via terrified mail company refuse honor right fdcpa fera victim identity theft remove fraudulent inquiry submitted without knowledge consent ardor authorization please find attached notice sent along attached terrified receipt information traced online using reference information thank time attention regarding matter,3
192057,1291006,2015-03-19,Debt collection,Communication tactics,"Platinum Holdings Group, LLC",TX,Web,Closed with explanation,Yes,No,receiving repeated call private number work answered individual informed world wide asset attempt collect debt informed work could receive personal call work number asked call stop hung called right back reiterated could personal call work hung,3
192058,1291009,2015-03-19,Credit reporting,Incorrect information on credit report,Equifax,LA,Web,Closed with explanation,Yes,Yes,attempted get inaccurate judgment removed equifax credit report month keep referring back courthouse contact courthouse indicating report reporting credit bureau ca help staff courthouse also provided information writing submitting equifax still refuse remove inaccurate information credit report,3
192070,1292225,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,GM Financial,MD,Web,Closed,Yes,Yes,sent letter address listed credit file got response asked fill for report however already for apply company account removed inquires still listed report hurting credit unfortunately victim identity theft done everything required law dispute fraudulent item credit report sent letter name via terrified mail company refuse honor right victim identity theft remove fraudulent inquiry submitted without knowledge consent ardor authorization please find attached notice sent along attached terrified receipt information traced online using reference information thank time attention regarding matter,3
192077,1292163,2015-03-19,Debt collection,False statements or representation,Real Time Resolutions,TX,Web,Closed with explanation,Yes,No,option needed false statement representation available summarize complaint real time resolution representing mortgage company rather debt collection agency credit report verbal recording consented yesterday tr employee husband financial adviser admitted debt collection agency mortgage company illegally reporting credit report attempted settle debt immediately account classification corrected refuse repeatedly stating even pay full leave account record incorrectly property question home purchased alone became rental property husband purchased another home home lost due illegal foreclosure known attempted rectify situation tenant housing authority failed make timely payment instance resolve receipt 110000 settlement check national class action lawsuit naming fault wrongfulillegal foreclosure stated resolve short litigation pay debt problem making settlement rectify situation that necessary satisfy mortgage seem right home illegally taken settlement paid provide compensation family credit damaged due something beyond control collection take place right away approximately 3 year later reported incorrectly mortgage account collection account legally family unable purchase new home due new mortgage law known possibility never would sold last home therefore husband child displaced due false representation attempted contracting credit bureau well unsuccessful,3
192083,1292603,2015-03-19,Mortgage,"Loan servicing, payments, escrow account","Carrington Mortgage Holdings, LLC.",CA,Web,Closed with explanation,Yes,No,offered trial modification service barrington accepted offer first payment due month member received 30 day month nonetheless called barrington make trial modification payment phone barrington refused take payment phone instead demanded send via service explained barrington would limited access fixed barrington stood firm reasonableness able get office barrington refused accept payment claimed late authorized party representative called barrington separate occasion 2015 purpose call determine whether schedule foreclosure sale date time authorized party representative told foreclosure sale date barrington completed foreclosure sale 2015 time foreclosure sale remained outoftown due mentioned,3
192115,1291055,2015-03-19,Credit card,Late fee,Citibank,FL,Web,Closed with monetary relief,Yes,No,credit card citicard mail payment week due date posted day due date late fee charged company contracted told control postal service,3
192137,1291076,2015-03-19,Student loan,Can't repay my loan,"Navient Solutions, Inc.",TX,Web,Closed with explanation,Yes,No,due financial hardship unable pay student loan struggling month contracted lender via email written letter response receive must contact via phone certain hour told multiple time impossible due work schedule written offered settle make arrangement write back always state help unless call purposefully contributing default account entered last letter received state default occur contact checked credit report already reported default placed collection agency 2 week prior date remained regarding situation still discus anything writing phone make sense consolidate loan another lender situation caused credit report go,3
192148,1291084,2015-03-19,Mortgage,Settlement process and costs,Bank of America,CA,Web,Closed with monetary relief,Yes,No,got behind payment worked loan modification department order keep home made arrangement month payoff made higher payment month balance caught able time make payment high enough actually got caught 4 month sent letter stating approved 2700000 principal forgiveness home loan letter stated wanted accept offer need anything question call call question specifically asked waited sell home even middle escort would receive credit principal balance loan would waiting period 30 day told would receive credit even escort long put house market sold specifically waited close closing date discovered escort office read document credit amount still debit column rather credit immediately called made multiple attempt correct quickly possible case manager always responsive helpful discovered error became responsive cooperative provided different information phone time called routed different department person unable assist department came head desperately tried reaching find credit showing rep kept telling case manager still would get different response time called rep stated credit would available 30 day another 60 day another 90 day frustrated called attorney advised file complaint received call since good working relationship performed obligation repay modification early called asking contracted day explained issue escort credit showing loan escort buyer forcing close house going credit reflected statement actually upset none worker reached call day office assured everything correct wo reflected receive statement typically generate month known wait statement generate reflect credit would waited sell home date buyer forcing sale sale going credit amount update record immediately might still late everything asked fulfilled loan mode 4 month rather selling home longer live particular home feel mislead provided correct information exact date credit would reflected letter poorly written customer service rep seem want help provide incorrect information want send department another completely frustrate give make money seems like scan fulfill end financial obligation,3
192150,1291085,2015-03-19,Credit card,Advertising and marketing,Barclays PLC,CA,Web,Closed with explanation,Yes,No,accepted credit card barclays initial disclosure provided indicated promotion rate 000 april purchase 6 month balance transfer 15 month upon receiving card disclosure provided reference promotion rate balance transfer therefore called company discus told promotion purchase therefore submitted complaint bank webster xxxxxxxx15 several back forth response letter received still indicated promotion rate purchase already expressed initially disclosed therefore deceptive consumer made credit decision based initially information provided appear false provided link provided term condition card included promotion rate balance transfer concern deceptive practice might bank conducting http wwwbarclaycarduscomapplylandingaction wwwbarclaycarduscomappjapplylptncsjsp xxxi,3
